"goal","dimension","region_id","score","region_label"
"FIS","score",0,39.7,"GLOBAL"
"FIS","score",1,11.09,"Cocos Islands"
"FIS","score",2,6.64,"Christmas Island"
"FIS","score",3,25.18,"Norfolk Island"
"FIS","score",4,26.17,"Macquarie Island"
"FIS","score",5,91.33,"New Caledonia"
"FIS","score",6,93,"Vanuatu"
"FIS","score",7,96.5,"Solomon Islands"
"FIS","score",8,95,"Palau"
"FIS","score",9,6.33,"Micronesia"
"FIS","score",10,92,"Nauru"
"FIS","score",11,94,"Marshall Islands"
"FIS","score",12,7.62,"Wake Island"
"FIS","score",13,16.14,"Northern Mariana Islands and Guam"
"FIS","score",14,12.97,"Taiwan"
"FIS","score",15,82.89,"Philippines"
"FIS","score",16,39.29,"Australia"
"FIS","score",17,95.5,"Papua New Guinea"
"FIS","score",18,86.49,"Fiji"
"FIS","score",19,95.5,"Tuvalu"
"FIS","score",20,2.11,"South Korea"
"FIS","score",21,20.53,"North Korea"
"FIS","score",24,27.7,"Cambodia"
"FIS","score",25,32.26,"Thailand"
"FIS","score",26,4.15,"Andaman and Nicobar"
"FIS","score",28,31.36,"Comoro Islands"
"FIS","score",29,31.8,"Mayotte"
"FIS","score",30,,"Glorioso Islands"
"FIS","score",31,34.21,"Seychelles"
"FIS","score",32,35.13,"R_union"
"FIS","score",33,,"Juan de Nova Island"
"FIS","score",34,,"Bassas da India"
"FIS","score",35,,"Ile Europa"
"FIS","score",36,35.5,"Ile Tromelin"
"FIS","score",37,30.56,"Mauritius"
"FIS","score",38,34.77,"British Indian Ocean Territory"
"FIS","score",39,35.14,"Maldives"
"FIS","score",40,14.33,"Sri Lanka"
"FIS","score",41,28.85,"Mozambique"
"FIS","score",42,21.28,"Madagascar"
"FIS","score",43,25.03,"Kenya"
"FIS","score",44,26.71,"Somalia"
"FIS","score",45,28.77,"Eritrea"
"FIS","score",46,31.3,"Djibouti"
"FIS","score",47,32.58,"Yemen"
"FIS","score",48,37.67,"Oman"
"FIS","score",49,23.8,"Sudan"
"FIS","score",50,30.05,"Saudi Arabia"
"FIS","score",51,20.88,"Kuwait"
"FIS","score",52,33.95,"Bahrain"
"FIS","score",53,33.86,"Pakistan"
"FIS","score",54,30.86,"United Arab Emirates"
"FIS","score",55,28.93,"Azores"
"FIS","score",56,43.59,"Cape Verde"
"FIS","score",57,42.19,"Madeira"
"FIS","score",58,54.76,"Canary Islands"
"FIS","score",59,29.41,"Belgium"
"FIS","score",60,26.63,"Gibraltar"
"FIS","score",61,29.33,"Tunisia"
"FIS","score",62,60.46,"Morocco"
